eta, gamma, epsilon, mds, mys, mss, mean, 50_perc, 80_perc, max, death_mode, 30_mean, 30_50_perc, 30_80_perc, 30_max, 30_death_mode, 30_low_mean, 30_low_50_perc, 30_low_80_perc, 30_low_max, 30_low_death_mode, 30_high_mean, 30_high_50_perc, 30_high_80_perc, 30_high_max, 30_high_death_mode
1,1,0.5,60,25,3,0.89,0.0,1.0,9.0,tree_top,1.05714285714,0.0,1.0,9.0,tree_top,0.382352941176,0.0,1.0,2.0,tree_top,1.69444444444,0.5,2.0,9.0,tree_bot
1,1,0.5,60,15,1,0.5,0.0,1.0,5.0,tree_top,0.7,0.0,1.0,5.0,tree_top,0.34375,0.0,1.0,2.0,tree_top,1.0,0.0,2.0,5.0,tree_bot
1,1,0.5,60,15,2,0.64,0.0,1.0,4.0,tree_top,0.742857142857,0.5,1.0,4.0,tree_top,0.689655172414,1.0,1.0,4.0,tree_top,0.780487804878,0.0,1.0,4.0,off_bot
1,1,0.5,60,15,3,0.44,0.0,1.0,3.0,tree_top,0.557142857143,0.0,1.0,3.0,tree_top,0.404761904762,0.0,1.0,2.0,tree_top,0.785714285714,1.0,1.0,3.0,tree_bot
1,1,0.5,60,10,1,0.4,0.0,1.0,2.0,tree_top,0.414285714286,0.0,1.0,2.0,tree_top,0.425,0.0,1.0,2.0,tree_top,0.4,0.0,1.0,2.0,off_bot
1,1,0.5,60,10,2,0.52,0.0,1.0,2.0,tree_top,0.657142857143,1.0,1.0,2.0,tree_top,0.657142857143,0.0,1.0,2.0,tree_top,0.657142857143,1.0,1.0,2.0,off_bot
1,1,0.5,60,10,3,0.56,0.0,1.0,5.0,tree_top,0.6,0.0,1.0,5.0,tree_top,0.516129032258,0.0,1.0,2.0,tree_top,0.666666666667,0.0,1.0,5.0,tree_bot
1,1,0.5,50,35,1,0.49,0.0,1.0,5.0,tree_top,0.628571428571,0.0,1.0,5.0,tree_top,0.325,0.0,1.0,2.0,tree_top,1.03333333333,1.0,2.0,5.0,off_bot
1,1,0.5,50,35,2,0.39,0.0,1.0,4.0,tree_top,0.457142857143,0.0,1.0,4.0,tree_top,0.225,0.0,0.2,2.0,tree_top,0.766666666667,1.0,1.0,4.0,off_bot
1,1,0.5,50,35,3,0.56,0.0,1.0,3.0,tree_top,0.714285714286,1.0,1.0,3.0,tree_top,0.634146341463,1.0,1.0,2.0,tree_top,0.827586206897,1.0,1.0,3.0,tree_bot
1,1,0.5,50,25,1,0.6,0.0,1.0,4.0,tree_top,0.7,0.5,1.0,4.0,tree_top,0.533333333333,0.0,1.0,2.0,tree_top,0.825,1.0,2.0,4.0,tree_bot
1,1,0.5,50,25,2,0.61,0.0,1.0,5.0,tree_top,0.757142857143,1.0,1.0,5.0,tree_top,0.516129032258,0.0,1.0,2.0,tree_top,0.948717948718,1.0,1.0,5.0,tree_top
1,1,0.5,50,25,3,0.82,0.0,1.0,9.0,tree_top,1.04285714286,1.0,1.0,9.0,tree_top,0.605263157895,0.0,1.0,3.0,tree_top,1.5625,1.0,2.0,9.0,tree_top
1,1,0.5,50,15,1,0.41,0.0,1.0,4.0,tree_top,0.428571428571,0.0,1.0,4.0,tree_top,0.487179487179,0.0,1.0,4.0,tree_top,0.354838709677,0.0,1.0,2.0,tree_bot
1,1,0.5,50,15,2,0.68,0.0,1.0,6.0,tree_top,0.857142857143,1.0,1.2,6.0,tree_top,0.75,0.0,2.0,3.0,tree_top,0.970588235294,1.0,1.0,6.0,off_bot
1,1,0.5,50,15,3,0.52,0.0,1.0,3.0,tree_top,0.585714285714,0.0,1.0,3.0,tree_top,0.527777777778,0.0,1.0,2.0,tree_top,0.647058823529,0.5,1.0,3.0,tree_bot
1,1,0.5,50,10,1,0.38,0.0,1.0,3.0,tree_top,0.385714285714,0.0,1.0,3.0,tree_top,0.379310344828,0.0,1.0,3.0,tree_top,0.390243902439,0.0,1.0,2.0,tree_top
1,1,0.5,50,10,2,0.57,0.0,1.0,3.0,tree_top,0.614285714286,0.5,1.0,2.0,tree_top,0.575,0.0,1.0,2.0,tree_top,0.666666666667,1.0,1.0,2.0,off_bot
1,1,0.5,50,10,3,0.47,0.0,1.0,4.0,tree_top,0.528571428571,0.0,1.0,4.0,tree_top,0.515151515152,0.0,1.0,2.0,tree_top,0.540540540541,0.0,1.0,4.0,tree_bot
1,1,0.5,40,35,1,0.47,0.0,1.0,4.0,tree_top,0.528571428571,0.0,1.0,4.0,tree_top,0.486486486486,0.0,1.0,3.0,tree_top,0.575757575758,0.0,1.0,4.0,tree_bot
1,1,0.5,40,35,2,0.67,0.0,1.0,8.0,tree_top,0.8,0.0,1.2,8.0,tree_top,0.358974358974,0.0,1.0,3.0,tree_top,1.35483870968,1.0,2.0,8.0,tree_top
1,1,0.5,40,35,3,1.03,0.0,1.0,16.0,tree_top,1.28571428571,1.0,1.0,16.0,tree_top,0.564102564103,0.0,1.0,3.0,tree_top,2.1935483871,1.0,4.0,16.0,tree_top
