eta, gamma, epsilon, mds, mys, mss, thresh, mean, 50_perc, 80_perc, max, death_mode, 30_mean, 30_50_perc, 30_80_perc, 30_max, 30_death_mode, 30_low_mean, 30_low_50_perc, 30_low_80_perc, 30_low_max, 30_low_death_mode, 30_high_mean, 30_high_50_perc, 30_high_80_perc, 30_high_max, 30_high_death_mode
0.1,1,0.3,119,36,56,0.001,50.76,1.0,18.4,826.0,tree_top,72.2142857143,2.0,113.0,826.0,tree_top,1.15384615385,1.0,2.0,3.0,tree_top,161.612903226,65.0,264.0,826.0,tree_top
0.1,1,0.275,119,36,56,0.001,61.34,2.0,89.8,735.0,tree_top,87.1714285714,5.0,141.2,735.0,tree_top,1.77777777778,1.0,2.0,7.0,tree_top,177.588235294,132.5,309.4,735.0,tree_top
0.1,1,0.25,119,36,56,0.001,50.65,1.0,24.2,940.0,tree_top,72.0428571429,1.0,73.0,940.0,tree_top,1.09523809524,1.0,1.0,4.0,tree_top,178.464285714,74.5,256.8,940.0,tree_bot
0.1,1,0.225,119,36,56,0.001,55.25,1.5,74.6,750.0,tree_top,78.4285714286,2.0,128.4,750.0,tree_top,1.18604651163,1.0,2.0,9.0,tree_top,201.444444444,138.0,343.6,750.0,tree_top
0.1,1,0.2,119,36,56,0.001,142.75,6.5,247.2,875.0,tree_top,145.471428571,42.0,247.8,813.0,tree_top,1.8064516129,1.0,3.0,6.0,tree_top,259.666666667,193.0,451.4,813.0,tree_top
0.1,1,0.3,119,36,56,0.001,196.29,41.0,339.4,2191.0,tree_top,233.442857143,92.5,414.6,2191.0,tree_top,1.34615384615,1.0,2.0,6.0,tree_top,370.590909091,239.5,514.8,2191.0,tree_top
0.1,1,0.275,119,36,56,0.001,196.34,4.0,455.6,1404.0,tree_top,186.971428571,3.0,371.0,1404.0,tree_top,1.16216216216,1.0,2.0,4.0,tree_top,395.303030303,249.0,632.6,1404.0,tree_top
0.1,1,0.25,119,36,56,0.001,105.97,2.0,209.0,1091.0,tree_top,150.828571429,3.0,317.4,1091.0,tree_top,1.6,1.0,2.2,5.0,tree_top,300.057142857,228.0,524.2,1091.0,tree_top
0.1,1,0.225,119,36,56,0.001,72.45,2.0,109.8,850.0,tree_top,102.657142857,5.0,191.8,850.0,tree_top,1.59375,1.0,2.0,7.0,tree_top,187.763157895,131.5,278.8,850.0,tree_top
0.1,1,0.2,119,36,56,0.001,71.95,2.0,50.8,1061.0,tree_top,102.328571429,3.0,114.0,1061.0,tree_top,1.63888888889,1.0,3.0,6.0,tree_top,208.941176471,84.0,413.0,1061.0,tree_top
0.1,1,0.3,119,36,56,0.001,20.4,1.0,15.8,430.0,tree_top,28.7,2.0,51.8,430.0,tree_top,1.15909090909,1.0,2.0,3.0,tree_top,75.3076923077,56.0,89.0,430.0,tree_top
0.1,1,0.275,119,36,56,0.001,88.08,1.0,98.0,1287.0,tree_top,125.514285714,3.0,145.6,1287.0,tree_top,1.02857142857,1.0,1.2,3.0,tree_top,250.0,109.0,395.6,1287.0,tree_top
0.1,1,0.25,119,36,56,0.001,53.69,1.0,5.2,1040.0,tree_top,76.1714285714,2.0,61.4,1040.0,tree_top,1.44444444444,1.0,2.0,5.0,tree_top,210.68,135.0,385.4,1040.0,tree_top
0.1,1,0.225,119,36,56,0.001,55.97,2.0,30.4,1229.0,tree_top,79.3571428571,4.0,56.0,1229.0,tree_top,1.80555555556,1.0,3.0,6.0,tree_top,161.470588235,48.0,129.8,1229.0,tree_top
0.1,1,0.2,119,36,56,0.001,94.69,1.5,94.8,1071.0,tree_top,134.557142857,2.5,197.4,1071.0,tree_top,1.02777777778,1.0,2.0,3.0,tree_top,275.941176471,139.0,524.0,1071.0,tree_top
0.1,1,0.3,119,36,56,0.001,56.35,2.0,24.0,1196.0,tree_top,80.1428571429,3.0,69.0,1196.0,tree_top,1.66666666667,1.0,3.0,4.0,tree_top,197.857142857,79.5,325.8,1196.0,tree_bot
0.1,1,0.275,119,36,56,0.001,54.0,1.0,42.4,580.0,tree_top,76.7,2.0,134.8,580.0,tree_top,1.14285714286,1.0,2.0,4.0,tree_top,190.035714286,140.5,368.4,580.0,tree_bot
